,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.48,-69.36,39.09,73,100,8.5,GL,1592665442
1,mataura,-46.19,168.86,39.0,83,54,3.0,NZ,1592665442
2,komsomolskiy,40.43,71.72,86.0,25,0,2.24,UZ,1592665442
3,busselton,-33.65,115.33,44.01,67,0,7.2,AU,1592665312
4,rikitea,-23.12,-134.97,75.88,82,77,14.85,PF,1592665443
5,upernavik,72.79,-56.15,42.01,69,0,5.77,GL,1592665443
6,namibe,-15.2,12.15,91.4,33,0,20.8,AO,1592665443
7,duartina,-22.41,-49.4,80.01,46,0,4.0,BR,1592665443
8,jamestown,42.1,-79.24,75.99,77,1,1.34,US,1592665444
9,black river,18.03,-77.85,87.01,74,40,9.17,JM,1592665444
10,havre-saint-pierre,50.23,-63.6,57.2,82,90,6.93,CA,1592665444
11,arraial do cabo,-22.97,-42.03,82.4,61,0,5.82,BR,1592665444
12,cape town,-33.93,18.42,64.0,88,75,12.75,ZA,1592665237
13,aklavik,68.22,-135.01,46.4,93,90,9.17,CA,1592665444
14,hasaki,35.73,140.83,70.0,88,75,5.82,JP,1592665307
15,kodiak,57.79,-152.41,48.2,87,90,6.93,US,1592665445
16,natitingou,10.3,1.38,80.6,74,20,6.93,BJ,1592665445
17,codrington,-38.27,141.97,47.43,89,100,7.29,AU,1592665445
18,ushuaia,-54.8,-68.3,33.8,86,90,4.7,AR,1592665445
19,ancud,-41.87,-73.82,48.0,100,90,9.17,CL,1592665445
20,lebu,-37.62,-73.65,52.81,91,100,25.66,CL,1592665446
21,castro,-24.79,-50.01,71.8,57,0,7.34,BR,1592665446
22,saint-philippe,-21.36,55.77,71.6,68,81,5.82,RE,1592665446
23,nanortalik,60.14,-45.24,40.5,79,100,12.62,GL,1592665446
24,hobart,-42.88,147.33,46.99,93,40,5.82,AU,1592665246
25,pacific grove,36.62,-121.92,55.4,87,90,3.36,US,1592665446
26,kapaa,22.08,-159.32,77.0,83,75,16.11,US,1592665447
27,christchurch,-43.53,172.63,45.0,93,11,2.24,NZ,1592665385
28,mount gambier,-37.83,140.77,46.4,93,90,4.7,AU,1592665447
29,georgetown,5.41,100.34,84.2,79,20,2.24,MY,1592665231
30,poum,-20.23,164.02,71.28,81,15,13.04,NC,1592665447
31,khatanga,71.97,102.5,63.39,52,6,13.04,RU,1592665447
32,muli,2.92,73.57,83.7,78,100,10.49,MV,1592665447
33,shasta lake,40.68,-122.37,77.0,58,98,1.01,US,1592665448
34,hithadhoo,-0.6,73.08,83.82,73,76,7.05,MV,1592665328
35,atuona,-9.8,-139.03,79.66,76,84,13.38,PF,1592665448
36,mar del plata,-38.0,-57.56,54.0,66,100,3.36,AR,1592665187
37,albany,42.6,-73.97,84.0,54,0,2.75,US,1592665448
38,talaya,61.38,152.75,51.96,63,8,6.11,RU,1592665448
39,amapa,1.0,-52.0,85.87,59,13,5.17,BR,1592665449
40,new norfolk,-42.78,147.06,45.0,88,100,2.37,AU,1592665449
41,livingstonia,-10.61,34.11,61.45,86,53,6.17,MW,1592665449
42,airai,-8.93,125.41,56.62,100,31,3.91,TL,1592665449
43,sitka,57.05,-135.33,51.8,87,90,8.05,US,1592665449
44,san quintin,30.48,-115.95,62.96,77,100,8.37,MX,1592665449
45,hermanus,-34.42,19.23,63.0,85,36,1.01,ZA,1592665449
46,chokurdakh,70.63,147.92,75.65,34,1,7.52,RU,1592665450
47,longyearbyen,78.22,15.64,42.8,75,40,21.92,SJ,1592665450
48,cidreira,-30.18,-50.21,69.76,87,95,5.95,BR,1592665450
49,shingu,33.73,135.98,67.82,88,96,3.91,JP,1592665450
50,sabang,5.89,95.32,83.79,76,99,11.1,ID,1592665450
51,belaya gora,68.53,146.42,72.05,34,0,5.88,RU,1592665451
52,omsukchan,62.53,155.8,53.02,63,0,4.34,RU,1592665451
53,norman wells,65.28,-126.83,62.6,82,75,12.75,CA,1592665451
54,chengde,40.97,117.94,69.46,72,97,0.51,CN,1592665451
55,asyut,27.18,31.18,98.6,29,0,16.11,EG,1592665451
56,tuktoyaktuk,69.45,-133.04,39.2,100,90,9.17,CA,1592665451
57,port alfred,-33.59,26.89,66.0,78,0,2.33,ZA,1592665452
58,salalah,17.02,54.09,87.8,74,20,6.93,OM,1592665452
59,fowa,8.92,6.4,84.88,68,89,1.36,NG,1592665452
60,rexburg,43.83,-111.79,57.99,71,1,4.65,US,1592665264
61,constitucion,-35.33,-72.42,54.91,85,100,16.06,CL,1592665452
62,bluff,-46.6,168.33,39.0,83,61,3.0,NZ,1592665452
63,praia da vitoria,38.73,-27.07,77.0,57,20,10.85,PT,1592665452
64,puerto ayora,-0.74,-90.35,69.01,96,94,5.01,EC,1592665452
65,thompson,55.74,-97.86,42.8,100,90,13.87,CA,1592665384
66,preobrazheniye,42.9,133.91,52.57,89,100,4.27,RU,1592665453
67,avarua,-21.21,-159.78,69.8,73,87,4.7,CK,1592665453
68,port blair,11.67,92.75,83.34,83,94,11.81,IN,1592665453
69,butaritari,3.07,172.79,83.26,73,90,11.65,KI,1592665453
70,sao sebastiao,-23.76,-45.41,83.89,46,0,0.89,BR,1592665453
71,tabou,4.42,-7.35,80.6,73,72,8.52,CI,1592665454
72,najran,17.49,44.13,102.2,11,20,6.93,SA,1592665454
73,lima,-12.04,-77.03,62.6,88,90,6.93,PE,1592665236
74,bredasdorp,-34.53,20.04,66.2,68,1,8.34,ZA,1592665454
75,half moon bay,37.46,-122.43,59.0,100,90,6.93,US,1592665454
76,bethel,41.37,-73.41,81.0,65,1,4.7,US,1592665454
77,port hedland,-20.32,118.57,69.8,32,0,10.29,AU,1592665455
78,atasu,48.68,71.64,58.3,39,0,6.6,KZ,1592665455
79,cherskiy,68.75,161.3,70.99,37,54,5.95,RU,1592665455
80,general pico,-35.66,-63.76,57.6,38,99,12.95,AR,1592665455
81,povoa de varzim,41.38,-8.76,75.0,68,0,9.17,PT,1592665338
82,punta arenas,-53.15,-70.92,37.4,76,100,9.17,CL,1592665455
83,cayenne,4.93,-52.33,86.0,70,75,4.7,GF,1592665343
84,bondoukou,8.03,-2.8,84.22,63,75,3.74,CI,1592665456
85,port elizabeth,-33.92,25.57,68.0,68,30,4.7,ZA,1592665349
86,pisco,-13.7,-76.22,66.0,77,75,4.7,PE,1592665456
87,chapada dos guimaraes,-15.46,-55.75,87.8,38,0,9.17,BR,1592665456
88,hofn,64.25,-15.21,51.26,92,100,10.45,IS,1592665456
89,regina,50.45,-104.62,51.01,87,75,8.05,CA,1592665282
90,bairiki,1.33,172.98,82.4,78,40,4.7,KI,1592665457
91,belmonte,-15.86,-38.88,80.6,61,40,10.29,BR,1592665457
92,fort frances,48.6,-93.4,68.0,67,1,3.36,CA,1592665457
93,arman,59.7,150.17,44.55,93,10,1.28,RU,1592665457
94,vila franca do campo,37.72,-25.43,68.0,77,20,14.99,PT,1592665457
95,mahebourg,-20.41,57.7,73.4,69,75,13.87,MU,1592665457
96,huarmey,-10.07,-78.15,67.53,70,36,8.08,PE,1592665457
97,vredendal,-31.67,18.5,65.46,54,0,11.48,ZA,1592665458
98,port lincoln,-34.73,135.87,56.3,73,78,27.11,AU,1592665458
99,vila velha,-20.33,-40.29,80.6,61,0,12.75,BR,1592665458
100,laguna,38.42,-121.42,63.0,77,5,6.93,US,1592665270
101,nouakchott,18.09,-15.98,84.2,70,0,13.87,MR,1592665458
102,waipawa,-41.41,175.52,54.0,96,100,11.41,NZ,1592665459
103,fairbanks,64.84,-147.72,55.4,93,1,1.25,US,1592665459
104,amurrio,43.05,-3.0,82.0,53,20,8.05,ES,1592665459
105,souillac,-20.52,57.52,73.4,69,75,13.87,MU,1592665459
106,luckenwalde,52.08,13.17,69.8,56,75,11.41,DE,1592665460
107,zurrieq,35.83,14.47,86.0,35,0,18.34,MT,1592665223
108,san lawrenz,36.06,14.2,86.0,35,0,18.34,MT,1592665460
109,beloha,-25.17,45.05,71.04,62,41,12.33,MG,1592665460
110,krasnoarmeysk,51.02,45.7,76.3,56,0,6.31,RU,1592665460
111,nemuro,43.32,145.57,49.26,90,13,9.95,JP,1592665460
