,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butajira,8.12,38.37,14.89,76,46,1.41,ET,1592607160
1,hilo,19.73,-155.09,27.0,61,90,2.1,US,1592607160
2,barrow,71.29,-156.79,2.0,85,90,2.6,US,1592607161
3,nikolskoye,59.7,30.79,19.0,72,24,5.0,RU,1592607161
4,rio verde de mato grosso,-18.92,-54.84,23.17,62,6,2.19,BR,1592607123
5,kodiak,57.79,-152.41,12.0,71,75,6.2,US,1592607131
6,coquimbo,-29.95,-71.34,14.0,87,27,2.6,CL,1592607092
7,cortez,37.35,-108.59,28.0,8,1,9.8,US,1592607161
8,deputatskiy,69.3,139.9,25.3,27,0,2.01,RU,1592607161
9,hobart,-42.88,147.33,5.56,93,40,0.71,AU,1592606924
10,nemuro,43.32,145.57,11.48,98,100,3.47,JP,1592607162
11,huarmey,-10.07,-78.15,18.33,80,16,5.22,PE,1592607162
12,saint-philippe,-21.36,55.77,21.0,73,20,8.2,RE,1592607162
13,saldanha,-33.01,17.94,16.0,77,0,1.5,ZA,1592607162
14,port alfred,-33.59,26.89,18.33,42,0,4.02,ZA,1592607162
15,balkanabat,39.51,54.37,31.94,12,0,11.62,TM,1592607163
16,gamba,-2.65,10.0,22.18,94,80,1.37,GA,1592607163
17,yellowknife,62.46,-114.35,23.0,35,20,7.2,CA,1592607163
18,butaritari,3.07,172.79,28.29,72,91,5.06,KI,1592607163
19,nanortalik,60.14,-45.24,3.87,90,100,1.54,GL,1592607163
20,mandera,3.94,41.87,26.36,61,77,8.45,KE,1592607163
21,pevek,69.7,170.31,5.34,69,13,4.7,RU,1592607127
22,lasa,46.62,10.7,8.0,87,75,3.1,IT,1592607164
23,ribeira grande,38.52,-28.7,18.35,88,55,7.38,PT,1592607088
24,polunochnoye,60.87,60.42,10.91,90,100,3.0,RU,1592607164
25,kaitangata,-46.28,169.85,7.78,73,89,3.13,NZ,1592607164
26,wattegama,6.8,81.48,25.28,75,100,0.55,LK,1592607164
27,solwezi,-12.17,26.39,9.36,65,0,2.06,ZM,1592607165
28,dikson,73.51,80.55,1.51,88,0,0.68,RU,1592606984
29,new norfolk,-42.78,147.06,9.44,78,51,0.83,AU,1592607165
30,cabo san lucas,22.89,-109.91,32.0,33,5,4.1,MX,1592607088
31,esperance,-33.87,121.9,7.0,93,40,2.6,AU,1592607165
32,east london,-33.02,27.91,19.42,32,0,2.75,ZA,1592607166
33,tomatlan,19.93,-105.25,30.67,47,42,3.62,MX,1592607166
34,ushuaia,-54.8,-68.3,3.0,86,40,1.0,AR,1592607145
35,alofi,-19.06,-169.92,25.0,69,11,7.2,NU,1592607166
36,dunedin,-45.87,170.5,10.0,66,100,7.6,NZ,1592607131
37,isangel,-19.55,169.27,23.0,94,90,7.0,VU,1592607166
