,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,71.6,83,40,11.41,TO,1595887050
1,kidal,18.44,1.41,86.68,44,42,12.17,ML,1595887050
2,rikitea,-23.12,-134.97,71.82,74,76,11.14,PF,1595887050
3,lavrentiya,65.58,-171.0,50.56,84,40,15.01,RU,1595887050
4,hobart,-42.88,147.33,44.6,93,75,5.82,AU,1595886548
5,hermanus,-34.42,19.23,52.0,85,0,1.01,ZA,1595887050
6,grand gaube,-20.01,57.66,66.99,81,0,5.99,MU,1595887050
7,walvis bay,-22.96,14.51,69.8,30,0,4.7,NA,1595886895
8,ushuaia,-54.8,-68.3,33.8,93,75,18.34,AR,1595886979
9,torbay,47.67,-52.73,62.6,93,90,3.36,CA,1595887051
10,busselton,-33.65,115.33,46.99,98,0,6.85,AU,1595887051
11,jamestown,42.1,-79.24,82.0,78,40,12.75,US,1595887051
12,puerto ayora,-0.74,-90.35,73.4,73,20,20.8,EC,1595887051
13,khatanga,71.97,102.5,45.82,71,0,6.93,RU,1595886761
14,saldanha,-33.01,17.94,50.0,61,0,4.7,ZA,1595887051
15,norman wells,65.28,-126.83,71.6,46,40,13.87,CA,1595887052
16,kapaa,22.08,-159.32,79.0,100,90,12.75,US,1595886761
17,mar del plata,-38.0,-57.56,44.6,70,20,10.29,AR,1595887004
18,virginia beach,36.85,-75.98,88.0,78,90,12.75,US,1595886719
19,college,64.86,-147.8,57.2,87,90,5.82,US,1595887017
20,lampang,18.33,99.5,71.01,90,99,0.69,TH,1595887052
21,biryusinsk,55.96,97.82,52.16,96,0,2.66,RU,1595887053
22,yining,29.04,114.56,74.57,93,98,0.87,CN,1595887053
23,severo-kurilsk,50.68,156.12,53.26,89,92,17.96,RU,1595886976
24,mahebourg,-20.41,57.7,66.2,88,75,3.36,MU,1595886999
25,faanui,-16.48,-151.75,78.71,80,100,14.72,PF,1595887053
26,olinda,-8.01,-34.86,78.8,74,40,11.41,BR,1595887053
27,saint anthony,45.02,-93.22,84.2,37,1,13.87,US,1595887054
28,pevek,69.7,170.31,35.76,85,0,10.65,RU,1595887054
29,saint-augustin,51.23,-58.65,65.14,72,92,10.4,CA,1595887054
30,kunya,12.22,8.53,71.6,100,56,2.24,NG,1595887054
31,hilo,19.73,-155.09,82.4,69,90,13.87,US,1595886776
32,inuvik,68.35,-133.72,71.6,37,75,9.17,CA,1595887054
33,avarua,-21.21,-159.78,73.4,73,91,10.29,CK,1595887055
34,codrington,-38.27,141.97,43.74,91,9,4.79,AU,1595887055
35,san patricio,19.22,-104.7,89.6,66,40,9.17,MX,1595887055
36,iida,35.52,137.82,75.0,97,100,5.99,JP,1595887055
37,lata,40.16,-8.33,68.0,86,15,8.99,PT,1595887055
38,karlstad,59.38,13.5,59.0,82,0,4.7,SE,1595887056
39,new norfolk,-42.78,147.06,43.0,92,47,1.74,AU,1595886978
40,alta floresta,-9.88,-56.09,81.52,31,0,3.02,BR,1595887056
41,mehamn,71.04,27.85,66.2,59,0,11.41,NO,1595887049
42,esperance,-33.87,121.9,51.8,100,77,8.05,AU,1595887038
43,yulara,-25.24,130.99,42.8,56,0,8.05,AU,1595887056
44,port alfred,-33.59,26.89,55.99,78,0,14.81,ZA,1595886981
45,port elizabeth,-33.92,25.57,57.2,76,0,8.05,ZA,1595887057
46,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595887057
47,kailua,21.4,-157.74,84.2,62,40,11.41,US,1595887057
48,albany,42.6,-73.97,97.0,29,18,7.25,US,1595886787
49,hambantota,6.12,81.12,77.0,100,75,3.36,LK,1595887057
50,vardo,70.37,31.11,57.2,76,0,12.75,NO,1595887057
51,chuy,-33.7,-53.46,51.3,85,60,5.39,UY,1595887058
52,hasaki,35.73,140.83,78.01,94,75,4.7,JP,1595887058
53,sitka,57.05,-135.33,57.2,82,75,5.82,US,1595887058
54,barrow,71.29,-156.79,39.2,80,90,21.92,US,1595887058
55,galesong,-5.32,119.37,68.0,100,90,2.24,ID,1595887058
56,kahului,20.89,-156.47,87.8,48,40,26.4,US,1595887058
57,aswan,24.09,32.91,92.26,16,24,6.85,EG,1595887059
58,staunton,38.15,-79.07,91.99,49,1,11.41,US,1595887059
59,tlaquepaque,20.65,-103.32,78.8,47,75,6.93,MX,1595886808
60,atuona,-9.8,-139.03,79.29,70,1,25.99,PF,1595887059
61,guerrero negro,27.98,-114.06,77.72,54,13,18.77,MX,1595887059
62,arrecife,28.96,-13.55,73.4,78,20,21.92,ES,1595887059
63,coquimbo,-29.95,-71.34,59.0,77,0,12.75,CL,1595887060
64,morro bay,35.37,-120.85,81.0,50,1,8.05,US,1595886992
65,lebu,-37.62,-73.65,46.81,67,6,12.17,CL,1595887060
66,srednekolymsk,67.45,153.68,60.87,52,89,11.95,RU,1595887060
67,conceicao da barra,-18.59,-39.73,70.27,85,15,5.35,BR,1595886766
68,nikolskoye,59.7,30.79,60.01,77,26,6.71,RU,1595887031
69,bredasdorp,-34.53,20.04,42.8,93,0,3.36,ZA,1595887060
70,zhangzhou,24.51,117.66,82.4,88,20,2.24,CN,1595887061
71,susangerd,31.56,48.18,102.2,26,6,4.7,IR,1595887061
72,cape town,-33.93,18.42,51.8,100,0,2.24,ZA,1595887023
73,san quintin,30.48,-115.95,74.17,65,3,16.55,MX,1595887061
74,punta arenas,-53.15,-70.92,37.4,55,40,8.05,CL,1595887048
75,tura,25.52,90.22,74.95,96,100,3.87,IN,1595886981
76,plettenberg bay,-34.05,23.37,56.17,59,0,3.98,ZA,1595887062
77,campbell river,50.02,-125.24,82.4,45,40,9.17,CA,1595887062
78,lorengau,-2.02,147.27,81.1,78,18,1.07,PG,1595887062
79,saint-philippe,-21.36,55.77,68.0,77,96,5.82,RE,1595887062
80,turan,16.07,108.22,78.8,83,20,4.7,VN,1595886923
81,vilhena,-12.74,-60.15,84.2,39,20,5.82,BR,1595887063
82,clyde river,70.47,-68.59,41.0,100,90,12.75,CA,1595887063
83,kandrian,-6.22,149.55,79.77,83,17,5.03,PG,1595887063
84,carauari,-4.88,-66.9,82.69,67,76,1.16,BR,1595887063
85,butaritari,3.07,172.79,82.83,80,100,10.78,KI,1595887063
86,chiredzi,-21.05,31.67,63.0,50,100,3.65,ZW,1595887064
87,ahuimanu,21.44,-157.84,84.2,62,40,11.41,US,1595887064
88,arraial do cabo,-22.97,-42.03,75.2,64,0,12.75,BR,1595886839
89,bambous virieux,-20.34,57.76,66.99,88,75,3.36,MU,1595887064
90,kieta,-6.22,155.63,82.27,72,100,2.06,PG,1595887064
91,vao,-22.67,167.48,71.55,82,87,22.19,NC,1595887064
92,busayra,30.74,35.61,76.57,48,86,2.17,JO,1595887064
93,veraval,20.9,70.37,83.53,80,79,9.82,IN,1595887065
94,kyzyl-suu,42.34,78.0,56.41,43,0,6.62,KG,1595887065
95,bethel,41.37,-73.41,91.99,46,1,8.05,US,1595887050
96,rzhaksa,52.13,42.03,60.35,77,2,6.49,RU,1595887065
97,coihaique,-45.58,-72.07,41.0,60,20,6.93,CL,1595887065
98,beringovskiy,63.05,179.32,67.64,55,0,3.02,RU,1595887016
99,mosquera,4.71,-74.23,62.6,59,75,12.75,CO,1595886881
100,nador,35.17,-2.93,78.8,83,95,6.93,MA,1595887066
101,boguchany,58.38,97.45,52.47,90,0,2.44,RU,1595887066
102,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595887066
103,naze,28.37,129.48,84.2,83,75,10.29,JP,1595887066
104,cabo san lucas,22.89,-109.91,93.2,49,40,5.82,MX,1595887008
105,sistranda,63.73,8.83,63.0,72,57,8.05,NO,1595887067
106,te anau,-45.42,167.72,40.78,82,100,1.03,NZ,1595887067
107,touros,-5.2,-35.46,75.2,83,40,6.93,BR,1595887067
108,puerto escondido,15.85,-97.07,78.8,78,90,5.82,MX,1595887067
109,malabo,3.75,8.78,75.2,100,20,4.7,GQ,1595887067
110,ambovombe,-25.17,46.08,63.5,78,0,4.94,MG,1595887068
111,upernavik,72.79,-56.15,44.92,85,0,5.26,GL,1595887068
112,kaeo,-35.1,173.78,57.99,3,100,8.99,NZ,1595887068
113,kudahuvadhoo,2.67,72.89,82.29,75,94,10.09,MV,1595887068
114,avera,33.19,-82.53,95.0,47,75,8.05,US,1595887068
115,nanyang,32.99,112.53,73.49,94,62,4.14,CN,1595887068
116,kavaratti,10.57,72.64,81.66,82,100,14.0,IN,1595887069
117,los llanos de aridane,28.66,-17.92,73.4,73,75,18.34,ES,1595887069
118,new ulm,44.31,-94.46,81.0,47,1,10.29,US,1595887069
119,pierre,44.37,-100.35,91.4,22,1,11.41,US,1595887030
120,anadyr,64.75,177.48,64.4,72,0,4.47,RU,1595887069
121,dikson,73.51,80.55,39.07,86,68,12.41,RU,1595887069
122,altamira,-3.2,-52.21,87.8,52,20,3.36,BR,1595887069
123,oranjemund,-28.55,16.43,59.0,72,0,3.85,NA,1595887070
