,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.21,-159.78,24.0,60,35,4.1,CK,1592618792
1,yumen,40.28,97.2,26.8,17,100,3.98,CN,1592618792
2,ushuaia,-54.8,-68.3,3.0,93,40,2.1,AR,1592618675
3,uarini,-2.99,-65.11,23.42,97,100,0.74,BR,1592618792
4,punta arenas,-53.15,-70.92,2.0,93,92,6.7,CL,1592618635
5,port elizabeth,-33.92,25.57,18.0,34,0,3.6,ZA,1592618792
6,mahebourg,-20.41,57.7,22.0,68,40,6.7,MU,1592618503
7,castro,-24.79,-50.01,14.56,93,23,2.47,BR,1592618793
8,saskylakh,71.92,114.08,26.91,28,51,3.34,RU,1592618793
9,shimoda,34.67,138.95,24.0,69,75,2.6,JP,1592618793
10,kavieng,-2.57,150.8,29.62,70,22,3.28,PG,1592618793
11,barra patuca,15.8,-84.28,26.88,85,8,4.59,HN,1592618794
12,butaritari,3.07,172.79,27.02,84,100,7.6,KI,1592618794
13,chokurdakh,70.63,147.92,32.53,18,81,5.38,RU,1592618795
14,lavrentiya,65.58,-171.0,13.41,39,0,6.86,RU,1592618795
15,mao,39.89,4.27,18.0,88,0,2.6,ES,1592618795
16,norman wells,65.28,-126.83,26.0,36,75,2.1,CA,1592618795
17,kirakira,-10.45,161.92,28.36,76,63,5.14,SB,1592618795
18,georgetown,5.41,100.34,26.0,94,40,2.1,MY,1592618782
19,salalah,17.02,54.09,28.0,88,20,1.5,OM,1592618795
20,husavik,66.04,-17.34,8.0,87,90,3.6,IS,1592618796
21,kloulklubed,7.04,134.26,30.0,74,75,3.1,PW,1592618796
22,zarinsk,53.71,84.95,11.23,83,100,2.82,RU,1592618796
23,taltal,-25.4,-70.48,13.88,74,11,2.14,CL,1592618797
24,longyearbyen,78.22,15.64,5.0,75,20,3.6,SJ,1592618797
25,batagay,67.63,134.63,33.09,20,1,0.64,RU,1592618797
26,rikitea,-23.12,-134.97,24.12,80,100,8.34,PF,1592618797
27,muroto,33.28,134.15,24.0,60,75,5.1,JP,1592618798
28,kologriv,58.83,44.32,13.54,94,84,4.36,RU,1592618798
29,mayo,38.89,-76.51,23.33,78,75,5.1,US,1592618798
30,mahina,-17.51,-149.49,29.0,70,75,5.1,PF,1592618798
31,westport,41.14,-73.36,22.0,78,20,3.6,US,1592618644
32,new norfolk,-42.78,147.06,12.22,79,89,1.41,AU,1592618799
33,marzuq,14.4,46.47,27.97,26,2,1.77,YE,1592618799
34,aberdeen,57.14,-2.1,12.78,100,90,1.0,GB,1592618517
35,mataura,-46.19,168.86,8.55,77,83,0.54,NZ,1592618799
36,port moresby,-9.44,147.18,29.0,74,40,10.3,PG,1592618799
37,neryungri,56.67,124.65,16.64,46,100,3.14,RU,1592618800
38,provideniya,64.38,-173.3,15.27,40,13,2.85,RU,1592618800
39,jamestown,42.1,-79.24,19.0,93,40,0.65,US,1592618800
40,albany,42.6,-73.97,27.0,51,75,4.1,US,1592618555
41,katsuura,35.13,140.3,28.33,68,55,2.68,JP,1592618800
42,lively,46.43,-81.15,23.0,53,5,3.1,CA,1592618521
43,port-gentil,-0.72,8.78,23.12,87,82,3.05,GA,1592618801
44,nanortalik,60.14,-45.24,3.71,92,100,5.13,GL,1592618801
45,tiksi,71.69,128.87,19.44,36,0,2.82,RU,1592618801
46,comodoro rivadavia,-45.87,-67.5,11.0,40,81,15.4,AR,1592618660
47,bathsheba,13.22,-59.52,26.0,88,75,6.7,BB,1592618801
48,laguna,38.42,-121.42,34.0,23,1,4.6,US,1592618802
49,manuk mangkaw,4.8,119.85,29.7,63,100,1.81,PH,1592618802
50,yershichi,53.67,32.75,16.4,95,5,2.0,RU,1592618802
51,lahaina,20.88,-156.68,29.0,54,40,8.2,US,1592618802
52,khatanga,71.97,102.5,14.25,57,100,4.24,RU,1592618803
53,talnakh,69.49,88.4,7.0,93,75,7.0,RU,1592618803
54,safaga,26.73,33.94,27.0,39,0,8.7,EG,1592618803
55,hobart,-42.88,147.33,12.22,81,75,2.1,AU,1592618751
56,port alfred,-33.59,26.89,20.56,34,0,5.36,ZA,1592618803
57,duki,30.15,68.57,29.14,29,0,2.07,PK,1592618804
58,uray,60.12,64.78,12.65,54,100,4.87,RU,1592618804
59,bengkulu,-3.8,102.27,27.11,71,44,0.45,ID,1592618804
60,avera,33.19,-82.53,24.0,83,40,2.23,US,1592618534
61,srandakan,-7.94,110.25,28.25,73,38,5.42,ID,1592618805
62,cape town,-33.93,18.42,16.11,93,75,2.1,ZA,1592618587
63,staryy nadym,65.61,72.68,9.65,54,55,4.48,RU,1592618805
64,busselton,-33.65,115.33,13.33,58,0,5.22,AU,1592618514
65,ukiah,39.15,-123.21,35.0,13,1,3.1,US,1592618624
66,vaini,-21.2,-175.2,25.0,73,75,6.7,TO,1592618806
67,singaparna,-7.35,108.11,24.44,83,84,1.55,ID,1592618806
68,beidao,34.57,105.89,22.2,60,98,2.07,CN,1592618806
69,hithadhoo,-0.6,73.08,28.38,74,100,6.51,MV,1592618806
70,riyadh,24.69,46.72,25.0,23,54,1.5,SA,1592618555
71,asau,46.43,26.4,16.67,85,89,2.46,RO,1592618807
72,barrow,71.29,-156.79,5.0,75,1,3.1,US,1592618807
73,shangrao,28.45,117.97,28.32,79,31,1.15,CN,1592618807
74,vandra,58.65,25.04,17.78,94,100,0.45,EE,1592618808
75,tasiilaq,65.61,-37.64,3.71,86,100,2.08,GL,1592618808
76,natal,-5.79,-35.21,24.0,94,75,4.1,BR,1592618659
77,ancud,-41.87,-73.82,8.89,93,75,3.6,CL,1592618808
78,san juan de colon,8.03,-72.26,20.48,84,97,2.19,VE,1592618808
79,tuatapere,-46.13,167.68,10.56,72,48,0.9,NZ,1592618808
80,sistranda,63.73,8.83,16.0,82,77,3.6,NO,1592618809
